Plotname;Plotid;Corner;Status;Location;Longitude;Latitude;utm_x;utm_y
AEG06;A34651;NE;VIP;Grassland;9.44201734853084;48.4014873782252;532715.822381576;5361019.8173191
AEG06;A34651;NE;VIP;Grassland;9.44201734853084;48.4014873782252;532715.822381576;5361019.8173191
AEG06;A34651;NE;VIP;Grassland;9.44201734853084;48.4014873782252;532715.822381576;5361019.8173191
AEG06;A34651;NE;VIP;Grassland;9.44201734853084;48.4014873782252;532715.822381576;5361019.8173191
AEG06;A34651;NW;VIP;Grassland;9.44133886706916;48.4014873782252;532665.604833357;5361019.52782365
AEG06;A34651;NW;VIP;Grassland;9.44133886706916;48.4014873782252;532665.604833357;5361019.52782365
AEG06;A34651;NW;VIP;Grassland;9.44133886706916;48.4014873782252;532665.604833357;5361019.52782365
AEG06;A34651;NW;VIP;Grassland;9.44133886706916;48.4014873782252;532665.604833357;5361019.52782365
AEG06;A34651;SE;VIP;Grassland;9.44201734853084;48.4010369277748;532716.111241565;5360969.748285
AEG06;A34651;SE;VIP;Grassland;9.44201734853084;48.4010369277748;532716.111241565;5360969.748285
AEG06;A34651;SE;VIP;Grassland;9.44201734853084;48.4010369277748;532716.111241565;5360969.748285
AEG06;A34651;SE;VIP;Grassland;9.44201734853084;48.4010369277748;532716.111241565;5360969.748285
AEG06;A34651;SW;VIP;Grassland;9.44133886706916;48.4010369277748;532665.893249942;5360969.45878901
AEG06;A34651;SW;VIP;Grassland;9.44133886706916;48.4010369277748;532665.893249942;5360969.45878901
AEG06;A34651;SW;VIP;Grassland;9.44133886706916;48.4010369277748;532665.893249942;5360969.45878901
AEG06;A34651;SW;VIP;Grassland;9.44133886706916;48.4010369277748;532665.893249942;5360969.45878901
AEG07;A24854;NE;VIP;Grassland;9.37718630521649;48.3916462063252;527922.75977931;5359900.28566261
AEG07;A24854;NE;VIP;Grassland;9.37718630521649;48.3916462063252;527922.75977931;5359900.28566261
AEG07;A24854;NE;VIP;Grassland;9.37718630521649;48.3916462063252;527922.75977931;5359900.28566261
AEG07;A24854;NE;VIP;Grassland;9.37718630521649;48.3916462063252;527922.75977931;5359900.28566261
AEG07;A24854;NW;VIP;Grassland;9.37650795498351;48.3916462063252;527872.54221186;5359900.03869917
AEG07;A24854;NW;VIP;Grassland;9.37650795498351;48.3916462063252;527872.54221186;5359900.03869917
AEG07;A24854;NW;VIP;Grassland;9.37650795498351;48.3916462063252;527872.54221186;5359900.03869917
AEG07;A24854;NW;VIP;Grassland;9.37650795498351;48.3916462063252;527872.54221186;5359900.03869917
AEG07;A24854;SE;VIP;Grassland;9.37718630521649;48.3911957558748;527923.006232857;5359850.21666676
AEG07;A24854;SE;VIP;Grassland;9.37718630521649;48.3911957558748;527923.006232857;5359850.21666676
AEG07;A24854;SE;VIP;Grassland;9.37718630521649;48.3911957558748;527923.006232857;5359850.21666676
AEG07;A24854;SE;VIP;Grassland;9.37718630521649;48.3911957558748;527923.006232857;5359850.21666676
AEG07;A24854;SW;VIP;Grassland;9.37650795498351;48.3911957558748;527872.788222162;5359849.96970286
AEG07;A24854;SW;VIP;Grassland;9.37650795498351;48.3911957558748;527872.788222162;5359849.96970286
AEG07;A24854;SW;VIP;Grassland;9.37650795498351;48.3911957558748;527872.788222162;5359849.96970286
AEG07;A24854;SW;VIP;Grassland;9.37650795498351;48.3911957558748;527872.788222162;5359849.96970286
AEG08;A42131;NE;VIP;Grassland;9.49246397058795;48.4228655099252;536434.332022179;5363418.83919939
AEG08;A42131;NE;VIP;Grassland;9.49246397058795;48.4228655099252;536434.332022179;5363418.83919939
AEG08;A42131;NE;VIP;Grassland;9.49246397058795;48.4228655099252;536434.332022179;5363418.83919939
AEG08;A42131;NE;VIP;Grassland;9.49246397058795;48.4228655099252;536434.332022179;5363418.83919939
AEG08;A42131;NW;VIP;Grassland;9.49178520381205;48.4228655099252;536384.114455218;5363418.51653058
AEG08;A42131;NW;VIP;Grassland;9.49178520381205;48.4228655099252;536384.114455218;5363418.51653058
AEG08;A42131;NW;VIP;Grassland;9.49178520381205;48.4228655099252;536384.114455218;5363418.51653058
AEG08;A42131;NW;VIP;Grassland;9.49178520381205;48.4228655099252;536384.114455218;5363418.51653058
AEG08;A42131;SE;VIP;Grassland;9.49246397058795;48.4224150594748;536434.653958279;5363368.77002182
AEG08;A42131;SE;VIP;Grassland;9.49246397058795;48.4224150594748;536434.653958279;5363368.77002182
AEG08;A42131;SE;VIP;Grassland;9.49246397058795;48.4224150594748;536434.653958279;5363368.77002182
AEG08;A42131;SE;VIP;Grassland;9.49246397058795;48.4224150594748;536434.653958279;5363368.77002182
AEG08;A42131;SW;VIP;Grassland;9.49178520381205;48.4224150594748;536384.435947573;5363368.44735241
AEG08;A42131;SW;VIP;Grassland;9.49178520381205;48.4224150594748;536384.435947573;5363368.44735241
AEG08;A42131;SW;VIP;Grassland;9.49178520381205;48.4224150594748;536384.435947573;5363368.44735241
AEG08;A42131;SW;VIP;Grassland;9.49178520381205;48.4224150594748;536384.435947573;5363368.44735241
AEG09;A43687;NE;VIP;Grassland;9.50313157638104;48.3948961521252;537243.977427199;5360315.08269463
AEG09;A43687;NE;VIP;Grassland;9.50313157638104;48.3948961521252;537243.977427199;5360315.08269463
AEG09;A43687;NE;VIP;Grassland;9.50313157638104;48.3948961521252;537243.977427199;5360315.08269463
AEG09;A43687;NE;VIP;Grassland;9.50313157638104;48.3948961521252;537243.977427199;5360315.08269463
AEG09;A43687;NW;VIP;Grassland;9.50245318281896;48.3948961521252;537193.759949493;5360314.75317435
AEG09;A43687;NW;VIP;Grassland;9.50245318281896;48.3948961521252;537193.759949493;5360314.75317435
AEG09;A43687;NW;VIP;Grassland;9.50245318281896;48.3948961521252;537193.759949493;5360314.75317435
AEG09;A43687;NW;VIP;Grassland;9.50245318281896;48.3948961521252;537193.759949493;5360314.75317435
AEG09;A43687;SE;VIP;Grassland;9.50313157638104;48.3944457016748;537244.306193204;5360265.01376934
AEG09;A43687;SE;VIP;Grassland;9.50313157638104;48.3944457016748;537244.306193204;5360265.01376934
AEG09;A43687;SE;VIP;Grassland;9.50313157638104;48.3944457016748;537244.306193204;5360265.01376934
AEG09;A43687;SE;VIP;Grassland;9.50313157638104;48.3944457016748;537244.306193204;5360265.01376934
AEG09;A43687;SW;VIP;Grassland;9.50245318281896;48.3944457016748;537194.088272189;5360264.68424846
AEG09;A43687;SW;VIP;Grassland;9.50245318281896;48.3944457016748;537194.088272189;5360264.68424846
AEG09;A43687;SW;VIP;Grassland;9.50245318281896;48.3944457016748;537194.088272189;5360264.68424846
AEG09;A43687;SW;VIP;Grassland;9.50245318281896;48.3944457016748;537194.088272189;5360264.68424846
AEG10;A2277;NE;EP;Grassland;9.21293993823964;48.3789380955252;515767.684257542;5358440.91889601
AEG10;A2277;NE;EP;Grassland;9.21293993823964;48.3789380955252;515767.684257542;5358440.91889601
AEG10;A2277;NE;EP;Grassland;9.21293993823964;48.3789380955252;515767.684257542;5358440.91889601
AEG10;A2277;NE;EP;Grassland;9.21293993823964;48.3789380955252;515767.684257542;5358440.91889601
AEG10;A2277;NW;EP;Grassland;9.21226175736036;48.3789380955252;515717.466640497;5358440.77959861
AEG10;A2277;NW;EP;Grassland;9.21226175736036;48.3789380955252;515717.466640497;5358440.77959861
AEG10;A2277;NW;EP;Grassland;9.21226175736036;48.3789380955252;515717.466640497;5358440.77959861
AEG10;A2277;NW;EP;Grassland;9.21226175736036;48.3789380955252;515717.466640497;5358440.77959861
AEG10;A2277;SE;EP;Grassland;9.21293993823964;48.3784876450748;515767.823363653;5358390.84992481
AEG10;A2277;SE;EP;Grassland;9.21293993823964;48.3784876450748;515767.823363653;5358390.84992481
AEG10;A2277;SE;EP;Grassland;9.21293993823964;48.3784876450748;515767.823363653;5358390.84992481
AEG10;A2277;SE;EP;Grassland;9.21293993823964;48.3784876450748;515767.823363653;5358390.84992481
AEG10;A2277;SW;EP;Grassland;9.21226175736036;48.3784876450748;515717.605303572;5358390.71062715
AEG10;A2277;SW;EP;Grassland;9.21226175736036;48.3784876450748;515717.605303572;5358390.71062715
AEG10;A2277;SW;EP;Grassland;9.21226175736036;48.3784876450748;515717.605303572;5358390.71062715
AEG10;A2277;SW;EP;Grassland;9.21226175736036;48.3784876450748;515717.605303572;5358390.71062715
AEG11;A20470;NE;EP;Grassland;9.34805532664547;48.4856240239252;525718.741426813;5370336.10264387
AEG11;A20470;NE;EP;Grassland;9.34805532664547;48.4856240239252;525718.741426813;5370336.10264387
AEG11;A20470;NE;EP;Grassland;9.34805532664547;48.4856240239252;525718.741426813;5370336.10264387
AEG11;A20470;NE;EP;Grassland;9.34805532664547;48.4856240239252;525718.741426813;5370336.10264387
AEG11;A20470;NW;EP;Grassland;9.34737572035453;48.4856240239252;525668.523569511;5370335.87443911
AEG11;A20470;NW;EP;Grassland;9.34737572035453;48.4856240239252;525668.523569511;5370335.87443911
AEG11;A20470;NW;EP;Grassland;9.34737572035453;48.4856240239252;525668.523569511;5370335.87443911
AEG11;A20470;NW;EP;Grassland;9.34737572035453;48.4856240239252;525668.523569511;5370335.87443911
AEG11;A20470;SE;EP;Grassland;9.34805532664547;48.4851735734748;525718.969180472;5370286.0328104
AEG11;A20470;SE;EP;Grassland;9.34805532664547;48.4851735734748;525718.969180472;5370286.0328104
AEG11;A20470;SE;EP;Grassland;9.34805532664547;48.4851735734748;525718.969180472;5370286.0328104
AEG11;A20470;SE;EP;Grassland;9.34805532664547;48.4851735734748;525718.969180472;5370286.0328104
AEG11;A20470;SW;EP;Grassland;9.34737572035453;48.4851735734748;525668.750878453;5370285.80460521
AEG11;A20470;SW;EP;Grassland;9.34737572035453;48.4851735734748;525668.750878453;5370285.80460521
AEG11;A20470;SW;EP;Grassland;9.34737572035453;48.4851735734748;525668.750878453;5370285.80460521
AEG11;A20470;SW;EP;Grassland;9.34737572035453;48.4851735734748;525668.750878453;5370285.80460521
AEG12;A20771;NE;EP;Grassland;9.3505700876941;48.3893473123252;525953.557350654;5359635.39971343
AEG12;A20771;NE;EP;Grassland;9.3505700876941;48.3893473123252;525953.557350654;5359635.39971343
AEG12;A20771;NE;EP;Grassland;9.3505700876941;48.3893473123252;525953.557350654;5359635.39971343
AEG12;A20771;NE;EP;Grassland;9.3505700876941;48.3893473123252;525953.557350654;5359635.39971343
AEG12;A20771;NW;EP;Grassland;9.3498917681059;48.3893473123252;525903.339772541;5359635.17020127
AEG12;A20771;NW;EP;Grassland;9.3498917681059;48.3893473123252;525903.339772541;5359635.17020127
AEG12;A20771;NW;EP;Grassland;9.3498917681059;48.3893473123252;525903.339772541;5359635.17020127
AEG12;A20771;NW;EP;Grassland;9.3498917681059;48.3893473123252;525903.339772541;5359635.17020127
AEG12;A20771;SE;EP;Grassland;9.3505700876941;48.3888968618748;525953.786404536;5359585.33072035
AEG12;A20771;SE;EP;Grassland;9.3505700876941;48.3888968618748;525953.786404536;5359585.33072035
AEG12;A20771;SE;EP;Grassland;9.3505700876941;48.3888968618748;525953.786404536;5359585.33072035
AEG12;A20771;SE;EP;Grassland;9.3505700876941;48.3888968618748;525953.786404536;5359585.33072035
AEG12;A20771;SW;EP;Grassland;9.3498917681059;48.3888968618748;525903.568383217;5359585.10120776
AEG12;A20771;SW;EP;Grassland;9.3498917681059;48.3888968618748;525903.568383217;5359585.10120776
AEG12;A20771;SW;EP;Grassland;9.3498917681059;48.3888968618748;525903.568383217;5359585.10120776
AEG12;A20771;SW;EP;Grassland;9.3498917681059;48.3888968618748;525903.568383217;5359585.10120776
AEG13;A22610;NE;EP;Grassland;9.3625374465295;48.3918731945252;526838.200424586;5359920.28185086
AEG13;A22610;NE;EP;Grassland;9.3625374465295;48.3918731945252;526838.200424586;5359920.28185086
AEG13;A22610;NE;EP;Grassland;9.3625374465295;48.3918731945252;526838.200424586;5359920.28185086
AEG13;A22610;NE;EP;Grassland;9.3625374465295;48.3918731945252;526838.200424586;5359920.28185086
AEG13;A22610;NW;EP;Grassland;9.3618590932705;48.3918731945252;526787.982846808;5359920.0444868
AEG13;A22610;NW;EP;Grassland;9.3618590932705;48.3918731945252;526787.982846808;5359920.0444868
AEG13;A22610;NW;EP;Grassland;9.3618590932705;48.3918731945252;526787.982846808;5359920.0444868
AEG13;A22610;NW;EP;Grassland;9.3618590932705;48.3918731945252;526787.982846808;5359920.0444868
AEG13;A22610;SE;EP;Grassland;9.3625374465295;48.3914227440748;526838.437307195;5359870.21284337
AEG13;A22610;SE;EP;Grassland;9.3625374465295;48.3914227440748;526838.437307195;5359870.21284337
AEG13;A22610;SE;EP;Grassland;9.3625374465295;48.3914227440748;526838.437307195;5359870.21284337
AEG13;A22610;SE;EP;Grassland;9.3625374465295;48.3914227440748;526838.437307195;5359870.21284337
AEG13;A22610;SW;EP;Grassland;9.3618590932705;48.3914227440748;526788.21928617;5359869.97547887
AEG13;A22610;SW;EP;Grassland;9.3618590932705;48.3914227440748;526788.21928617;5359869.97547887
AEG13;A22610;SW;EP;Grassland;9.3618590932705;48.3914227440748;526788.21928617;5359869.97547887
AEG13;A22610;SW;EP;Grassland;9.3618590932705;48.3914227440748;526788.21928617;5359869.97547887
AEG14;A46088;NE;EP;Grassland;9.51900834787249;48.3759852267252;538433.476927509;5358220.91919585
AEG14;A46088;NE;EP;Grassland;9.51900834787249;48.3759852267252;538433.476927509;5358220.91919585
AEG14;A46088;NE;EP;Grassland;9.51900834787249;48.3759852267252;538433.476927509;5358220.91919585
AEG14;A46088;NE;EP;Grassland;9.51900834787249;48.3759852267252;538433.476927509;5358220.91919585
AEG14;A46088;NW;EP;Grassland;9.51833020632751;48.3759852267252;538383.259518107;5358220.57936972
AEG14;A46088;NW;EP;Grassland;9.51833020632751;48.3759852267252;538383.259518107;5358220.57936972
AEG14;A46088;NW;EP;Grassland;9.51833020632751;48.3759852267252;538383.259518107;5358220.57936972
AEG14;A46088;NW;EP;Grassland;9.51833020632751;48.3759852267252;538383.259518107;5358220.57936972
AEG14;A46088;SE;EP;Grassland;9.51900834787249;48.3755347762748;538433.815967955;5358170.85044909
AEG14;A46088;SE;EP;Grassland;9.51900834787249;48.3755347762748;538433.815967955;5358170.85044909
AEG14;A46088;SE;EP;Grassland;9.51900834787249;48.3755347762748;538433.815967955;5358170.85044909
AEG14;A46088;SE;EP;Grassland;9.51900834787249;48.3755347762748;538433.815967955;5358170.85044909
AEG14;A46088;SW;EP;Grassland;9.51833020632751;48.3755347762748;538383.59811554;5358170.51062233
AEG14;A46088;SW;EP;Grassland;9.51833020632751;48.3755347762748;538383.59811554;5358170.51062233
AEG14;A46088;SW;EP;Grassland;9.51833020632751;48.3755347762748;538383.59811554;5358170.51062233
AEG14;A46088;SW;EP;Grassland;9.51833020632751;48.3755347762748;538383.59811554;5358170.51062233
AEG15;A35767;NE;EP;Grassland;9.44899373888265;48.4881070242252;533175.71553781;5370650.94716837
AEG15;A35767;NE;EP;Grassland;9.44899373888265;48.4881070242252;533175.71553781;5370650.94716837
AEG15;A35767;NE;EP;Grassland;9.44899373888265;48.4881070242252;533175.71553781;5370650.94716837
AEG15;A35767;NE;EP;Grassland;9.44899373888265;48.4881070242252;533175.71553781;5370650.94716837
AEG15;A35767;NW;EP;Grassland;9.44831409931735;48.4881070242252;533125.497747242;5370650.65270471
AEG15;A35767;NW;EP;Grassland;9.44831409931735;48.4881070242252;533125.497747242;5370650.65270471
AEG15;A35767;NW;EP;Grassland;9.44831409931735;48.4881070242252;533125.497747242;5370650.65270471
AEG15;A35767;NW;EP;Grassland;9.44831409931735;48.4881070242252;533125.497747242;5370650.65270471
AEG15;A35767;SE;EP;Grassland;9.44899373888265;48.4876565737748;533176.009354954;5370600.877387
AEG15;A35767;SE;EP;Grassland;9.44899373888265;48.4876565737748;533176.009354954;5370600.877387
AEG15;A35767;SE;EP;Grassland;9.44899373888265;48.4876565737748;533176.009354954;5370600.877387
AEG15;A35767;SE;EP;Grassland;9.44899373888265;48.4876565737748;533176.009354954;5370600.877387
AEG15;A35767;SW;EP;Grassland;9.44831409931735;48.4876565737748;533125.791119621;5370600.58292278
AEG15;A35767;SW;EP;Grassland;9.44831409931735;48.4876565737748;533125.791119621;5370600.58292278
AEG15;A35767;SW;EP;Grassland;9.44831409931735;48.4876565737748;533125.791119621;5370600.58292278
AEG15;A35767;SW;EP;Grassland;9.44831409931735;48.4876565737748;533125.791119621;5370600.58292278
AEG16;A36692;NE;EP;Grassland;9.45580038126964;48.4023328652252;533735.409110492;5361119.77318711
AEG16;A36692;NE;EP;Grassland;9.45580038126964;48.4023328652252;533735.409110492;5361119.77318711
AEG16;A36692;NE;EP;Grassland;9.45580038126964;48.4023328652252;533735.409110492;5361119.77318711
AEG16;A36692;NE;EP;Grassland;9.45580038126964;48.4023328652252;533735.409110492;5361119.77318711
AEG16;A36692;NW;EP;Grassland;9.45512188853036;48.4023328652252;533685.191570936;5361119.47465342
AEG16;A36692;NW;EP;Grassland;9.45512188853036;48.4023328652252;533685.191570936;5361119.47465342
AEG16;A36692;NW;EP;Grassland;9.45512188853036;48.4023328652252;533685.191570936;5361119.47465342
AEG16;A36692;NW;EP;Grassland;9.45512188853036;48.4023328652252;533685.191570936;5361119.47465342
AEG16;A36692;SE;EP;Grassland;9.45580038126964;48.4018824147748;533735.706982001;5361069.70415672
AEG16;A36692;SE;EP;Grassland;9.45580038126964;48.4018824147748;533735.706982001;5361069.70415672
AEG16;A36692;SE;EP;Grassland;9.45580038126964;48.4018824147748;533735.706982001;5361069.70415672
AEG16;A36692;SE;EP;Grassland;9.45580038126964;48.4018824147748;533735.706982001;5361069.70415672
AEG16;A36692;SW;EP;Grassland;9.45512188853036;48.4018824147748;533685.488999026;5361069.40562247
AEG16;A36692;SW;EP;Grassland;9.45512188853036;48.4018824147748;533685.488999026;5361069.40562247
AEG16;A36692;SW;EP;Grassland;9.45512188853036;48.4018824147748;533685.488999026;5361069.40562247
AEG16;A36692;SW;EP;Grassland;9.45512188853036;48.4018824147748;533685.488999026;5361069.40562247
AEG17;A46114;NE;EP;Grassland;9.51870810049932;48.3995482638252;538393.51489158;5360839.86740339
AEG17;A46114;NE;EP;Grassland;9.51870810049932;48.3995482638252;538393.51489158;5360839.86740339
AEG17;A46114;NE;EP;Grassland;9.51870810049932;48.3995482638252;538393.51489158;5360839.86740339
AEG17;A46114;NE;EP;Grassland;9.51870810049932;48.3995482638252;538393.51489158;5360839.86740339
AEG17;A46114;NW;EP;Grassland;9.51802964490068;48.3995482638252;538343.297414869;5360839.52764955
AEG17;A46114;NW;EP;Grassland;9.51802964490068;48.3995482638252;538343.297414869;5360839.52764955
AEG17;A46114;NW;EP;Grassland;9.51802964490068;48.3995482638252;538343.297414869;5360839.52764955
AEG17;A46114;NW;EP;Grassland;9.51802964490068;48.3995482638252;538343.297414869;5360839.52764955
AEG17;A46114;SE;EP;Grassland;9.51870810049932;48.3990978133748;538393.853861064;5360789.79845195
AEG17;A46114;SE;EP;Grassland;9.51870810049932;48.3990978133748;538393.853861064;5360789.79845195
AEG17;A46114;SE;EP;Grassland;9.51870810049932;48.3990978133748;538393.853861064;5360789.79845195
AEG17;A46114;SE;EP;Grassland;9.51870810049932;48.3990978133748;538393.853861064;5360789.79845195
AEG17;A46114;SW;EP;Grassland;9.51802964490068;48.3990978133748;538343.63594097;5360789.45869748
